,"RandomForestRegressor(criterion='mae', max_depth=29, max_features='sqrt',
                      min_samples_leaf=5, min_samples_split=5,
                      n_estimators=1000, random_state=6)",NuSVR(kernel='poly'),"GradientBoostingRegressor(learning_rate=0.3, min_samples_leaf=30,
                          min_samples_split=60, n_estimators=20,
                          random_state=0)","DecisionTreeRegressor(max_depth=3, min_samples_leaf=60, min_samples_split=5)","AdaBoostRegressor(base_estimator=DecisionTreeRegressor(max_depth=4),
                  learning_rate=0.3, loss='exponential', n_estimators=80,
                  random_state=0)"
46,497.88182153566663,497.49453843147967,499.41635068635514,498.0533875145395,499.70958810591674
47,491.1636655467559,490.5639548296118,490.56390445271677,490.8529065750889,489.7551206418717
48,489.8022596907426,489.85902315753077,490.2603899805732,490.8529065750889,490.4530277208907
49,494.4502542298886,493.14470883749095,494.57810773280977,493.01795119742974,493.82604165666066
50,493.8639797318838,492.44582704450374,493.8358811810357,493.01795119742974,493.64157875190295
51,489.3039960135439,489.5975078559525,490.38962410491393,489.71937187036673,490.3739419376965
52,490.2465697002495,490.0256815527121,489.21561567639316,489.71937187036673,489.6001475345136
53,490.89510116790836,490.3793542293958,490.3298069071943,490.8529065750889,490.4336221069908
54,493.31178932612914,493.9876395148939,494.2888221688965,494.12803774385674,494.5437758916926
55,490.9165201315863,489.79275173285663,490.3498047127764,489.71937187036673,489.87295078954656
56,490.2028893617943,490.29492175264545,490.6021882983802,490.8529065750889,490.4530277208907
57,490.66026276977874,490.2459954865376,491.5199045986012,490.8529065750889,489.77821250830334
58,489.20039126397734,490.16741650122464,489.45885994680475,489.71937187036673,489.5760056698518
59,489.38173532475037,489.58811330384606,489.27865849511795,489.71937187036673,489.87295078954656
60,490.58471947123587,490.2607554929919,490.0397948557019,489.71937187036673,489.9019321876779
61,496.24101012180205,495.21893980574976,495.91447563204724,494.12803774385674,495.9394892766354
62,491.3764880226692,490.2969592246876,491.3466989715657,489.71937187036673,489.73201852891054
63,487.72075320659553,489.19933465619965,487.8865486863936,489.71937187036673,488.1912995892853
64,490.39748010539034,490.46769264850576,490.59703902895217,489.71937187036673,490.11378796252427
65,495.10452548890385,497.8864233201571,494.2620190045604,498.0533875145395,493.07535604258584
66,488.5130566653661,489.8446891712621,488.92483209851696,489.71937187036673,489.42842056541235
67,491.3695772283214,489.9814172951026,490.8535660686588,489.71937187036673,490.11378796252427
68,489.7799350527171,490.23875526804994,489.5983150388053,489.71937187036673,489.7551206418717
69,489.29026183595903,489.6511937053513,489.5755714636909,489.71937187036673,489.9019321876779
70,489.1868573902531,490.35991239320543,489.1832189692153,490.8529065750889,489.79321447724107
71,498.96385177720197,499.44619609651215,499.4142344614782,500.726658035386,500.33393869084887
72,491.32940653867547,490.07574741363584,490.52511166359534,489.71937187036673,490.22169349230217
73,489.5446263759134,489.44182470503443,490.17443728611164,489.71937187036673,489.5760056698518
